2390673|46870.12|6829914|659392.1
2535855|33298.38|4304052|256489.47
9388221|22199.94|5427617|77153.74
572719|77926.91|918396|262513.68
9173955|40974.47|1119335|-87954.63
7194864|5153.71|9520531|345304.08
4301109|30143.52|6438538|295686.14
8706921|73999.88|1429694|496167.55
9941128|76198.76|8112958|631010.73
1338427|-5235.19|9802829|956189.16
7268990|88927.78|2283932|561886.93
2122435|15680.1|6012236|529113.17
5521452|43393.74|2725325|722301.58
9236097|54821.86|9082482|325138.1
9209700|78777.62|10657274|808844.12
7457764|15067.66|3827283|307306.21
8292704|99110.85|10585169|126982.44
6186481|-9575.32|2099493|332521.13
1965475|48609.82|2143413|713308.68
1003308|88157.17|1422318|538747.75
5616364|35221.26|9723617|784882.17
7493149|5957.82|2182848|128098.04
3305459|25147.21|1302802|82191.03
5838434|26643.84|2332757|233422.31
2773172|33825.92|9078766|217357.39
1484618|5392.63|2089419|863192.84
6293091|2623.82|8561790|472946.88
8930509|26648.69|1808768|-77014.87
1387377|70171.91|7071727|177889.39
4645903|97837.13|6711093|950437.74
5609861|381.95|4849948|236172.82
4064355|25703.58|9383428|599626.64
6220150|45647.21|5080622|485604.92
9450754|35472.85|5197250|307409.36
5857732|66452.08|10328969|654343.17
5673475|22174.09|9700111|716466.13
8977498|80255.01|9942857|473684.01
3567166|33869.44|2201240|932214.12
582881|13083.29|1511842|377136.79
4305428|865.56|2762148|915740.6
2122403|71351.52|5598921|884567.75
7058689|87635.39|4941823|15679.89
8848920|6753.77|9229128|-63025.99
5119618|67208.39|5633278|314710.21
3028210|25480.08|7457353|363345.84
9419842|59396.25|6952654|289782.85
7585144|46002.48|3147250|34333.32
3775270|80827.65|5601297|38589.99
8066716|82641.22|7878178|702049.45
4860259|75379.45|585296|392031.92
724755|89917.37|1380760|614031.68
4531933|42943.43|8429668|498783.26
9031838|80360.67|5686731|801810.96
7764682|79952.7|9051756|246920.99
6166290|32631.32|3229587|369567.74
8825574|56790.98|2821552|144826.76
5268713|-2349.48|2085902|607204.65
7008946|92289.15|6551836|42131.5
5530707|97060.22|10439741|813651.22
847928|-2602.14|9303782|710206.67
8060265|59753.83|7846275|684206.94
10405550|66863.71|7029070|142721.04
7429077|71699.52|7610116|391801.45
8890189|63049.43|7671288|255432.48
8302819|78554.42|981712|438095.63
7650251|93326.5|2391441|79517.42
8555154|-4465.93|6751462|654963.76
7760575|88015.69|1180390|860790.89
1303253|-8054.75|2188204|224149.07
10556112|28155.4|3121311|918604.99
8894670|74838.44|10074857|235495.01
4215165|55414.14|9798437|899894.38
2939575|87707.9|10870595|206207.45
5732405|69281.65|2137370|713229.64
3462503|6194.45|6206735|894180.36
1892036|14381.75|7840799|-44259.88
1296117|18817.44|3557043|519544.22
9902643|60519.33|7815226|622708.38
3196676|48278.81|8655027|384009.39
1274988|98904.67|4202829|412265.5
5237457|91718.71|10603569|525720.69
8978846|95796.19|4499276|200942.64
8509485|14907.57|2325705|899090.24
4969884|63475.67|5289646|59475.29
1025833|70435.78|6560697|288661.68
3782283|90775.96|1362058|853323.13
3676020|67483.05|1676784|461601.09
4340801|43157.55|621711|639230.86
5600012|6649.56|7874593|208702.66
1846905|25256.2|5154744|200515.7
9825732|32714.37|9719573|-5510.31
7888487|17902.54|1479249|504474.42
2327731|82539.16|8719654|254893.79
1045008|30601.31|1516650|94999.46
9688995|11895.59|6219298|789587.31
9141301|41298.98|3863667|30137.34
2700751|-6654.24|8114430|763532.17
5552915|94520.05|949511|-67427.12
7622755|92994.69|8883261|723365.85
2355995|73317.27|2388020|220623.69
1398557|35154.73|7558559|71860.62
